n_estimators,num_leaves,learning_rate,k,accuracy,precision_1,recall_1,profit_1,max_drawdown_1,precision_0,recall_0,profit_0,max_drawdown_0
50,20,0.1,8,0.40033093059966907,0.39818663990825687,0.5609916187014036,0.7782191416028725,-29.816802701541413,0.40279073540745547,0.5146677723644656,-0.399299829892108,-55.96671842606777
50,20,0.1,9,0.39945605660054395,0.3995402629121471,0.5616479854589518,0.7972931011485866,-28.363796294063484,0.3994015849911046,0.5119726339794755,-0.38141064353459164,-55.086101286789386
50,20,0.1,10,0.4006732725993267,0.3965785919589985,0.5782086236493992,0.8421486555501638,-32.594892478947415,0.405563070679743,0.4972530320306831,-0.3792191766388655,-60.58265195927749
50,20,0.1,11,0.40116776659883224,0.40221495091870124,0.564778349994951,0.7229725724539322,-31.35830704134398,0.4000323127877858,0.5133202031719706,-0.4108724986997303,-63.768423468524624
50,20,0.1,12,0.4006352345993648,0.3993105631573393,0.573159648591336,0.35154821241806977,-31.534911728502628,0.4021350834925646,0.501762205867109,-0.5389142944642229,-65.17588808010075
50,20,0.2,1,0.3735902166264098,0.4170703454085931,0.3999293143491871,0.6127328473419167,-27.187639455115104,0.3490040789591211,0.6075463874779724,-0.4541388855611965,-57.609655617785606
50,20,0.2,2,0.3733049316266951,0.3632517376851012,0.5461981217812784,0.33570418952652314,-36.37844475619855,0.3866719346766759,0.4565149787498704,-0.5465906359869577,-60.13562607601529
50,20,0.2,3,0.3732668936267331,0.3657516692520402,0.5476118347975361,0.5130431246061953,-28.062122559928348,0.38329109499257186,0.454649113714108,-0.4833417134073593,-57.50903187621697
50,20,0.2,4,0.37661423762338575,0.3699622275357799,0.5390285771988287,0.4783319325355595,-38.09986022121562,0.38334590302116145,0.4478594381673059,-0.499242876920446,-66.96082232349347
50,20,0.2,5,0.3977253276022747,0.39298987101945637,0.5445824497626982,0.5951744154128307,-27.96999868080946,0.4022531477799867,0.5033689229812377,-0.428436303389235,-55.86237421973469
50,20,0.2,6,0.3967933966032066,0.39614537033578606,0.5354942946581844,0.7542264356510033,-29.994097889792098,0.39697937615836587,0.5217684254172281,-0.4089021615030556,-55.061521465434446
50,20,0.2,7,0.39745906160254096,0.39465679627661526,0.5437241240028274,0.8424418457420133,-28.063807739294113,0.398359161349134,0.4982896237172178,-0.35945439841517046,-47.435595711761394
50,20,0.2,8,0.4008254245991746,0.39426189984156507,0.577956174896496,1.829383842782018,-28.069101284995327,0.4088458819370802,0.47957914377526695,-0.05713022779699073,-41.23339757783829
50,20,0.2,9,0.3986002016013998,0.3937248028045574,0.5670503887710795,0.8897756043592866,-23.633180975413282,0.40310454625862374,0.47242666113817766,-0.34589700344625396,-53.51129936676737
50,20,0.2,10,0.40152912759847087,0.39690253111452944,0.5732101383419166,1.1388833490092147,-30.281465465005436,0.4041026095432192,0.4727376386441381,-0.29728446641618733,-52.28696303959562
50,20,0.2,11,0.399437037600563,0.3983638182337811,0.563011208724629,1.2972805904383096,-25.939466981425692,0.4002926421404682,0.49626826992847517,-0.24067442378228243,-48.79850883052133
50,20,0.2,12,0.3995701706004298,0.4000669568128557,0.5430172674946986,0.5065237319254969,-36.47811830555818,0.3979328165374677,0.5108323831242874,-0.458939530390873,-56.278334208156956
50,31,0.05,1,0.37305768462694233,0.41654513452351016,0.41820660405937593,0.6076444299244472,-28.524816524454835,0.3466079402948553,0.5873328495905463,-0.44975597062102524,-54.750292611842006
50,31,0.05,2,0.3728104376271896,0.3614512600505725,0.642330606886802,0.3343793148145373,-37.8062336841371,0.3958117592912208,0.3565875401679279,-0.5362757953915909,-63.638884629858964
50,31,0.05,3,0.3714600886285399,0.39801127535845876,0.4526911037059477,-0.1633983075425005,-40.52997024404203,0.35155730067882335,0.5475795584119415,-0.7118094442280058,-73.12619646230361
50,31,0.05,4,0.3707754046292246,0.38232357522265265,0.4833383823083914,0.12790697595777867,-37.25815117882781,0.36027596223674657,0.5142531356898518,-0.6116109163075856,-73.42204024075633
50,31,0.05,5,0.40006466459993534,0.3971374873500072,0.5547813793799858,1.2339374370654084,-23.565053139962362,0.4033158042631769,0.5207318337306934,-0.23902692740829856,-55.155214770530044
50,31,0.05,6,0.39863823960136174,0.3981546670619187,0.5425123699888923,0.8104186128887718,-30.201028496400646,0.39914817130353236,0.5294392038975847,-0.3827720992058944,-64.5121768552781
