n_estimators,num_leaves,learning_rate,k,threshold,profit_1,max_drawdown_1,profit_0,max_drawdown_0
50,5,0.05,13,0.35,0.8314321089217201,,-0.0,0.0
50,5,0.05,13,0.39999999999999997,0.8210450390742876,,-0.01038706984743254,-1.0358238319891133
50,5,0.05,13,0.44999999999999996,0.6574014740501938,-31.664993872158625,-0.17403063487152637,
50,5,0.05,13,0.49999999999999994,0.3532274147267789,-18.64874281730719,-0.47820469419494127,
50,5,0.05,13,0.5499999999999999,0.29071912348508877,-11.795876900075783,-0.5407129854366314,
50,5,0.05,13,0.5999999999999999,0.11115403501484544,-6.903525270423343,-0.7202780739068747,
50,5,0.05,13,0.6499999999999999,0.0,0.0,-0.8314321089217201,
50,5,0.05,14,0.35,0.8314321089217201,,-0.0,0.0
50,5,0.05,14,0.39999999999999997,0.8023690111972558,,-0.02906309772446436,-2.888748589912893
50,5,0.05,14,0.44999999999999996,0.6953541790120492,-28.035653166592322,-0.13607792990967094,
50,5,0.05,14,0.49999999999999994,0.4000922943569942,-17.865837025878974,-0.4313398145647259,
50,5,0.05,14,0.5499999999999999,0.28444797433579627,-14.770829519419527,-0.5469841345859239,
50,5,0.05,14,0.5999999999999999,0.26867709563710696,-6.90352527042335,-0.5627550132846132,
50,5,0.05,14,0.6499999999999999,-0.058395537319473445,-6.472827881877152,-0.8898276462411936,
50,5,0.05,15,0.35,0.8314321089217201,,-0.0,0.0
50,5,0.05,15,0.39999999999999997,0.8188189548058058,,-0.012613154115914349,-1.6208914903196758
50,5,0.05,15,0.44999999999999996,0.8501966671463171,-24.950957538147044,0.018764558224596994,
50,5,0.05,15,0.49999999999999994,0.6119594976329984,-17.787070191246,-0.21947261128872175,
50,5,0.05,15,0.5499999999999999,0.38156123477790527,-12.72247931250015,-0.4498708741438149,
50,5,0.05,15,0.5999999999999999,0.27910194698813606,-6.903525270423349,-0.5523301619335841,
50,5,0.05,15,0.6499999999999999,0.0,0.0,-0.8314321089217201,
50,5,0.05,16,0.35,0.8314321089217201,,-0.0,0.0
50,5,0.05,16,0.39999999999999997,0.8314321089217201,,-0.0,0.0
50,5,0.05,16,0.44999999999999996,0.919031004570071,-25.315722865870335,0.08759889564835088,
50,5,0.05,16,0.49999999999999994,0.6162589730414408,-14.400208157855536,-0.2151731358802793,
50,5,0.05,16,0.5499999999999999,0.37674250700343703,-11.187288058454698,-0.4546896019182831,
50,5,0.05,16,0.5999999999999999,0.1570976584535715,-6.90352527042334,-0.6743344504681487,
50,5,0.05,16,0.6499999999999999,0.0,0.0,-0.8314321089217201,
50,5,0.05,17,0.35,0.8314321089217201,,-0.0,0.0
50,5,0.05,17,0.39999999999999997,0.8314321089217201,,-0.0,0.0
50,5,0.05,17,0.44999999999999996,0.8599051877063911,-25.033920941336646,0.02847307878467098,
50,5,0.05,17,0.49999999999999994,0.7324371202385095,-15.838291713840844,-0.09899498868321066,
50,5,0.05,17,0.5499999999999999,0.3995483975742552,-9.034544669204505,-0.43188371134746495,
50,5,0.05,17,0.5999999999999999,0.14958128513359092,-6.903525270423345,-0.6818508237881292,
50,5,0.05,17,0.6499999999999999,0.0,0.0,-0.8314321089217201,
