n_estimators,num_leaves,learning_rate,k,threshold,accuracy,precision_1,recall_1,profit_1,max_drawdown_1,precision_0,recall_0,profit_0,max_drawdown_0
50,5,0.05,7,0.39999999999999997,0.5135083713850838,0.5127612443417124,0.9897750511247444,0.8768141064879664,-18.903449296057545,0.5736434108527132,0.01441652055328268,-0.01983734147884153,-5.192625896737903
50,5,0.05,7,0.44999999999999996,0.5218797564687976,0.5204637681159421,0.8345417363822272,0.45461903791740355,-16.224814285782998,0.5283518812930578,0.19423339177868693,-0.25384198498725985,-28.67071911509069
50,5,0.05,7,0.49999999999999994,0.5286339421613394,0.5399096385542169,0.5331846068042387,0.3610134268776928,-12.69293685951022,0.5171153846153846,0.5238651860510423,-0.3167147219260791,-35.07862512688023
50,5,0.05,7,0.5499999999999999,0.5001902587519026,0.5602700096432015,0.10801264175497305,0.0023735101343229648,-14.799722775812548,0.49361477572559365,0.9111630625365283,-0.5125529425778164,-54.62768425140284
50,5,0.05,7,0.5999999999999999,0.4889649923896499,0.5777777777777777,0.004833612195575386,0.002788659974003238,-3.8718105629554795,0.48858316614120567,0.996298460939022,-0.5211429516419276,-55.242365484988966
50,5,0.05,7,0.6499999999999999,0.4882990867579909,0.0,0.0,0.0,0.0,0.4882990867579909,1.0,-0.5228736948757967,-55.404133957159225
50,5,0.05,8,0.35,0.5117009132420092,0.5117009132420092,1.0,0.9114658647078917,-19.641921461834237,0.0,0.0,0.0,0.0
50,5,0.05,8,0.39999999999999997,0.5122716894977168,0.5120137299771167,0.9983268265476855,0.9275769639626072,-19.631271500804278,0.625,0.0029222676797194622,0.008370654764962682,-0.413308972321086
50,5,0.05,8,0.44999999999999996,0.5197869101978692,0.5189164475940108,0.8440230526120097,0.5701147294661961,-17.372735611452004,0.5241066364152014,0.18001168907071888,-0.1932090670697023,-22.377181422232344
50,5,0.05,8,0.49999999999999994,0.526541095890411,0.53824200913242,0.5259341885108756,0.3381161125043455,-13.135363143596265,0.5148401826484018,0.527177089421391,-0.3282753221828315,-38.3392556543987
